Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
AGX,,,,,,,,,,,1,,,,,
ALV,,,,,,,,,,,1,,,,,
AM,,,,,,,,,,,1,,,,,
AZZ,,,,,,,,,,,1,,,,,
BABA,,,,,,,,,,,1,,,,,
BBW,,,,,,,,,,,1,,,,,
CAE,,,,,,,,,,,1,,,,,
CASY,,,,,,,,,,,1,,,,,
CCB,,,,,,,,,,,1,,,,,
CCJ,,,,,,,,,,,1,,,,,
CHT,,,,,,,,,,,1,,,,,
CM,,,,,,,,,,,1,,,,,
DLO,,,,,,,,,,,1,,,,,
DRD,,,,,,,,,,,1,,,,,
FLEX,,,,,,,,,,,1,,,,,
FOX,,,,,,,,,,,1,,,,,
FUTU,,,,,,,,,,,1,,,,,
GATX,,,,,,,,,,,1,,,,,
GS,,,,,,,,,,,1,,,,,
HLT,,,,,,,,,,,1,,,,,
HMY,,,,,,,,,,,1,,,,,
HSBC,,,,,,,,,,,1,,,,,
HWM,,,,,,,,,,,1,,,,,
JPM,,,,,,,,,,,1,,,,,
KLAC,,,,,,,,,,,1,,,,,
MA,,,,,,,,,,,1,,,,,
MGYR,,,,,,,,,,,1,,,,,
MIR,,,,,,,,,,,1,,,,,
NTB,,,,,,,,,,,1,,,,,
NVS,,,,,,,,,,,1,,,,,
ODC,,,,,,,,,,,1,,,,,
OPOF,,,,,,,,,,,1,,,,,
OSIS,,,,,,,,,,,1,,,,,
PFGC,,,,,,,,,,,1,,,,,
PJT,,,,,,,,,,,1,,,,,
PSMT,,,,,,,,,,,1,,,,,
PTGX,,,,,,,,,,,1,,,,,
REVG,,,,,,,,,,,1,,,,,
RL,,,,,,,,,,,1,,,,,
ROL,,,,,,,,,,,1,,,,,
RWAY,,,,,,,,,,,1,,,,,
SCHW,,,,,,,,,,,1,,,,,
SENEA,,,,,,,,,,,1,,,,,
SHG,,,,,,,,,,,1,,,,,
SRAD,,,,,,,,,,,1,,,,,
STN,,,,,,,,,,,1,,,,,
STT,,,,,,,,,,,1,,,,,
TD,,,,,,,,,,,1,,,,,
TR,,,,,,,,,,,1,,,,,
TRIP,,,,,,,,,,,1,,,,,
TRV,,,,,,,,,,,1,,,,,
TSM,,,,,,,,,,,1,,,,,
UBER,,,,,,,,,,,1,,,,,
